frame,time_seconds,track_id,class_id,class_name,confidence,center_x,center_y,x1,y1,x2,y2
39,1.626625,1,2,car,0.40949323773384094,768.29541015625,626.2671508789062,731.8419189453125,606.3894653320312,804.7489013671875,646.1448364257812
51,2.127125,2,5,bus,0.4241422414779663,1031.6524658203125,444.249755859375,905.81494140625,309.2198486328125,1157.489990234375,579.2796630859375
52,2.168833333333333,2,5,bus,0.3621083199977875,1031.6943664550781,439.37103271484375,905.9924926757812,309.101318359375,1157.396240234375,569.6407470703125
53,2.2105416666666664,2,5,bus,0.35709163546562195,1033.400146484375,442.900146484375,908.883056640625,308.7215576171875,1157.917236328125,577.0787353515625
78,3.25325,3,2,car,0.5634705424308777,389.44775390625,571.8423461914062,351.8914794921875,547.769775390625,427.0040283203125,595.9149169921875
79,3.294958333333333,3,2,car,0.5172553658485413,384.70611572265625,573.093017578125,347.9134826660156,548.27490234375,421.4987487792969,597.9111328125
80,3.3366666666666664,3,2,car,0.5534261465072632,380.2567138671875,574.2132568359375,341.30108642578125,548.752685546875,419.21234130859375,599.673828125
81,3.3783749999999997,3,2,car,0.5909295678138733,375.97467041015625,576.1602783203125,335.2100830078125,549.9654541015625,416.7392578125,602.3551025390625
82,3.420083333333333,3,2,car,0.5223305821418762,372.1619873046875,578.255615234375,331.88519287109375,550.7552490234375,412.43878173828125,605.7559814453125
83,3.4617916666666666,3,2,car,0.3838231861591339,366.4422607421875,581.3372802734375,326.4676513671875,555.2469482421875,406.4168701171875,607.4276123046875
86,3.5869166666666663,3,2,car,0.6008872985839844,349.276123046875,590.2794799804688,307.28814697265625,563.879638671875,391.26409912109375,616.6793212890625
87,3.6286249999999995,3,2,car,0.7412410974502563,345.2171325683594,591.28369140625,302.6479797363281,563.1737670898438,387.7862854003906,619.3936157226562
88,3.6703333333333332,3,2,car,0.7675719261169434,340.1198425292969,595.6641235351562,297.90338134765625,568.0284423828125,382.3363037109375,623.2998046875
89,3.7120416666666665,3,2,car,0.6388622522354126,333.35272216796875,598.5220947265625,290.3280029296875,571.546142578125,376.37744140625,625.498046875
90,3.7537499999999997,3,2,car,0.6799032092094421,328.7165222167969,603.0318603515625,284.30560302734375,573.6131591796875,373.12744140625,632.4505615234375
91,3.795458333333333,3,2,car,0.6233057379722595,321.51953125,604.3819580078125,275.56597900390625,573.0343017578125,367.47308349609375,635.7296142578125
92,3.8371666666666666,3,2,car,0.6902170777320862,315.67333984375,609.466552734375,270.4390563964844,578.4932861328125,360.9076232910156,640.4398193359375
93,3.878875,3,2,car,0.6599946618080139,310.0120544433594,611.8521728515625,263.36151123046875,579.8531494140625,356.66259765625,643.8511962890625
94,3.920583333333333,3,2,car,0.6619675159454346,302.88037109375,615.7120361328125,256.5833740234375,582.079345703125,349.1773681640625,649.3447265625
95,3.9622916666666663,3,2,car,0.6418014168739319,297.2378234863281,616.40966796875,249.4716796875,580.79296875,345.00396728515625,652.0263671875
96,4.004,3,2,car,0.6908286809921265,290.4603271484375,621.966796875,241.52569580078125,586.996337890625,339.39495849609375,656.937255859375
97,4.045708333333333,3,2,car,0.5371173620223999,283.92272186279297,622.8950805664062,234.4075164794922,585.4005737304688,333.43792724609375,660.3895874023438
